StationID,StationName,DisplayName,Latitude,Longitude,Elevation,City,ZipCode,TzTimeZone,StateCode,StateDesc,CountryCode,CountryDesc,CountyName
3816,KMHE,Mitchell Municipal Airport,43.7748,-98.0386,1302,Mitchell,57301,US/Central,SD,South Dakota,US,United States of America,Davison
41613,K9D1,Gregory Municipal Airport - SE of Gregory,43.22,-99.4,2168,Gregory,57533,US/Central,SD,South Dakota,US,United States of America,Gregory
41620,KMKA,Miller Miunicipal Airport - NE of Miller ,44.53,-98.96,1568,Miller,57373,US/Central,SD,South Dakota,US,United States of America,Hand
2330,K2WX,Buffalo Reporting Station,45.57,-103.52,2890,Buffalo,57651,US/Mountain,SD,South Dakota,US,United States of America,Harding
4216,KPIR,Pierre Regional Airport,44.38,-100.28,1729,Pierre,57532,US/Central,SD,South Dakota,US,United States of America,Hughes
38047,KMDS,Madison Municipal Airport,44.0141,-97.0817,1716,Madison,57042,US/Central,SD,South Dakota,,,Lake
4528,KSPF,Spearfish-Clyde Ice Reporting Station,44.48,-103.78,3898,Spearfish,82715,US/Mountain,SD,South Dakota,US,United States of America,Lawrence
3268,KFSD,Foss Field,43.5769,-96.7536,1427,Sioux Falls,57104,US/Central,SD,South Dakota,US,United States of America,Minnehaha
4315,KRCA,Rapid City,44.15,-103.1,3278,Ellsworth Air Force Base,57706,US/Mountain,SD,South Dakota,US,United States of America,Pennington
4310,KRAP,Rapid City Regional Airport,44.05,-103.07,3166,Rapid City,57703,US/Mountain,SD,South Dakota,US,United States of America,Pennington
34541,K0D8,South of  Gettysburg,44.99,-99.95,2061,Gettysburg,57455,US/Central,SD,South Dakota,US,United States of America,Potter
2520,K8D3,Sisseton Municipal Airport,45.67,-96.99,1161,Sisseton,57262,US/Central,SD,South Dakota,US,United States of America,Roberts
3516,KIEN,Pine Ridge,43.03,-102.5,3274,Pine Ridge,69360,US/Mountain,SD,South Dakota,US,United States of America,Shannon
29863,KICR,Winner Regional Airport,43.3902,-99.842,2032,Winner,57580,US/Central,SD,South Dakota,US,United States of America,Tripp
3771,KMBG,Mobridge Municipal Airport,45.55,-100.41,1667,Mobridge,57601,US/Central,SD,South Dakota,US,United States of America,Walworth
4866,KYKN,Yankton Automatic Reporting Station,42.9167,-97.3859,1306,Yankton,57078,US/Central,SD,South Dakota,US,United States of America,Yankton
3009,KD07,Faith Reporting Station,45.04,-102.01,2581,Faith,57626,US/Mountain,SD,South Dakota,US,United States of America,Ziebach
4101,KOQT,Oak Ridge,36.023,-84.2336,915,Oak Ridge,37831,US/Eastern,TN,Tennessee,US,United States of America,Anderson
60865,KSYI,Bomar Field-Shelbyville Municipal Airport - NE of Shelbyville,35.5593,-86.4424,801,Shelbyville,37160,US/Eastern,TN,Tennessee,US,United States of America,Bedford
58793,INTO,Into the Wind Airport - NE of Seymour,35.8293,-83.7774,1000,Seymour,37865,US/Eastern,TN,Tennessee,US,United States of America,Blount
4685,KTYS,McGhee Tyson Airport,35.8181,-83.9858,981,Knoxville,37701,US/Eastern,TN,Tennessee,US,United States of America,Blount
59345,KRZR,Cleveland Regional Jetport - NE of Cleveland,35.2114,-84.7997,860,Cleveland,37312,US/Eastern,TN,Tennessee,US,United States of America,Bradley
38134,K0A9,Elizabethton Municipal Airport - NW of Rexford ,36.3712,-82.1734,1593,Rexford,37643,US/Eastern,TN,Tennessee,,,Carter
50510,KTHA,Tullahoma Regional Airport/William Northern Field,35.38,-86.2466,1084,Tullahoma,37360,US/Eastern,TN,Tennessee,US,United States of America,Coffee
2976,KCSV,Crossville Memorial Airport,35.9513,-85.085,1880,Crossville,38557,US/Central,TN,Tennessee,US,United States of America,Cumberland
2801,KBNA,Nashville International Airport,36.1189,-86.6892,600,Nashville,37217,US/Central,TN,Tennessee,US,United States of America,Davidson
65222,KJWN,John C Tune Airport,36.183,-86.8865,501,Nashville,37209,US/Eastern,TN,Tennessee,US,United States of America,Davidson
3097,KDYR,Dyersburg Automatic Weather Station,36,-89.4,338,Dyersburg,38024,US/Central,TN,Tennessee,US,United States of America,Dyer
60881,KMOR,Moore-Murrell Airport,36.1793,-83.3754,1313,Morristown,37418,US/Eastern,TN,Tennessee,US,United States of America,Hamblen
2902,KCHA,Lovell Field,35.03,-85.2,689,Chattanooga,37421,US/Eastern,TN,Tennessee,US,United States of America,Hamilton
61246,KFYM,Fayetteville Municipal Airport - SE of Belleview ,35.0596,-86.564,984,Fayetteville,37334,US/Eastern,TN,Tennessee,US,United States of America,Lincoln
58923,KMMI,McMinn County Airport -  SE of Athens,35.3991,-84.5617,874,Athens,37303,US/Eastern,TN,Tennessee,US,United States of America,McMinn
3838,KMKL,McKellar-Sipes Regional Airport,35.5931,-88.9167,433,Jackson,38301,US/Central,TN,Tennessee,US,United States of America,Madison
2921,KCKV,Outlaw Field,36.62,-87.42,541,Clarksville,42223,US/Central,TN,Tennessee,US,United States of America,Montgomery
3881,KMQY,Smyrna,36.009,-86.5201,545,Smyrna,37086,US/Central,TN,Tennessee,US,United States of America,Rutherford
3798,KMEM,Memphis International Airport,35.0611,-89.985,331,Memphis,38131,US/Central,TN,Tennessee,US,United States of America,Shelby
60116,KM01,General Dewitt Spain Airport,35.2006,-90.0539,225,Memphis,38127,US/Eastern,TN,Tennessee,US,United States of America,Shelby
4659,KTRI,Tri-Cities Regional Airport,36.48,-82.4,1555,Bristol-Johnson-Kingsport,37617,US/Eastern,TN,Tennessee,US,United States of America,Sullivan
4010,KNQA,Millington Municipal Airport,35.3567,-89.8703,322,Millington,38054,US/Central,TN,Tennessee,US,United States of America,Tipton
60523,KRNC,Warren County Memorial Airport,35.6987,-85.8438,1032,Mc Minnville,37110,US/Eastern,TN,Tennessee,US,United States of America,Warren
51605,KSRB,Upper Cumberland Regional Airport,36.0559,-85.5307,1025,Sparta,38583,US/Eastern,TN,Tennessee,US,United States of America,White
11208,KPSN,Palestine Municipal Airport,31.78,-95.71,129,Palestine,75803,US/Central,TX,Texas,,,Anderson
50776,KE11,Andrews County Airport - NE of Andrews,32.3311,-102.5295,3174,Andrews,79714,US/Central,TX,Texas,US,United States of America,Andrews
3673,KLFK,Angelina County Airport,31.23,-94.75,289,Lufkin,75941,US/Central,TX,Texas,US,United States of America,Angelina
4346,KRKP,Aransas County Airport,28.08,-97.05,23,Rockport,78382,US/Central,TX,Texas,US,United States of America,Aransas
29364,KBEA,Beeville Municipal Airport,28.37,-97.78,0,Beeville,78104,US/Central,TX,Texas,US,United States of America,Bee
4655,KTPL,Miller Automatic Reporting Station,31.15,-97.4,682,Temple,76504,US/Central,TX,Texas,US,United States of America,Bell
3532,KILE,Killeen Municipal Automatic Reporting Station,31.08,-97.68,846,Killeen,76548,US/Central,TX,Texas,US,United States of America,Bell
3431,KHLR,Fort Hood Automatic Reporting Station,31.15,-97.72,928,Fort Hood,76541,US/Central,TX,Texas,US,United States of America,Bell
4355,KRND,Randolph Air Force Base,29.5297,-98.2789,761,San Antonio,78150,US/Central,TX,Texas,US,United States of America,Bexar
4415,KSAT,San Antonio International Airport,29.5337,-98.4698,794,San Antonio,78216,US/Central,TX,Texas,US,United States of America,Bexar
4545,KSSF,Stinson Municipal Airport,29.3389,-98.4717,577,San Antonio,78214,US/Central,TX,Texas,US,United States of America,Bexar
4487,KSKF,Kelly Air Force Base,29.3842,-98.5811,689,San Antonio,78241,US/Central,TX,Texas,US,United States of America,Bexar
43656,K5C1,Boerne Stage Field Airport - SE of Boerne,29.7239,-98.6946,1385,Boerne,78015,US/Central,TX,Texas,US,United States of America,Bexar
3661,KLBX,Brazoria County Airport,29.12,-95.47,20,Angleton-Lake Jackson,77515,US/Central,TX,Texas,US,United States of America,Brazoria
2924,KCLL,Easterwood Field,30.58,-96.37,315,College Station,77801,US/Central,TX,Texas,US,United States of America,Brazos
57162,KCFD,Coulter Field Airport - NE of Bryan,30.7156,-96.3313,367,Bryan,,US/Central,TX,Texas,US,United States of America,Brazos
6364,KBKS,Brooks County Airport,27.21,-98.12,34,Falfurrias,78355,US/Central,TX,Texas,US,United States of America,Brooks
2842,KBWD,Municipal Airport,31.8,-98.95,1384,Brownwood,76801,US/Central,TX,Texas,US,United States of America,Brown
15957,KRWV,Caldwell Municipal Airport,30.52,-96.7,391,Caldwell,77836,US/Central,TX,Texas,US,United States of America,Burleson
2799,KBMQ,Burnet Municipal Airport-Kate Craddock Field,30.74,-98.23,1276,Burnet,78642,US/Central,TX,Texas,US,United States of America,Burnet
13500,KPKV,Calhoun County Airport,28.654,-96.6813,30,Port Lavaca,77979,US/Central,TX,Texas,US,United States of America,Calhoun
11676,MGSJ,,13.92,-90.82,2,"SAN JOSE (CIV/MIL), GU",70397,America/Guatemala,,,,,Cameron
11677,MGHT,,15.32,-91.47,1901,"HUEHUETENANGO, GU",70392,America/Guatemala,,,,,Cameron
3457,KHRL,Rio Grande Valley International Airport,26.23,-97.65,36,Harlingen,78586,US/Central,TX,Texas,US,United States of America,Cameron
4214,KPIL,Port Isabel-Cameron County Airport,26.17,-97.36,16,Port Isabel,78566,US/Central,TX,Texas,US,United States of America,Cameron
2819,KBRO,South Padre Island International Airport,25.9,-97.43,23,Brownsville,78526,US/Central,TX,Texas,US,United States of America,Cameron
43587,KVBS,Sabine 13b OilP - SW of Port Arthur ,29.48,-93.63,734,Port Arthur,77640,US/Central,TX,Texas,US,United States of America,Cameron
43969,KSPL,SPL Heliport - San Padre Island,26.0711,-97.1577,10,San Padre,78597,US/Central,TX,Texas,US,United States of America,Cameron
6373,KJSO,Cherokee County Airport,31.87,-95.22,206,Jackson,75766,US/Central,TX,Texas,US,United States of America,Cherokee
2886,KCDS,Childress Municipal Airport,34.43,-100.28,1952,Childress,79201,US/Central,TX,Texas,US,United States of America,Childress
43654,KCOM,Coleman Municipal Airport - NE of Coleman,31.8411,-99.4036,1697,Coleman,96834,US/Central,TX,Texas,US,United States of America,Coleman
4631,KTKI,McKinney Municipal Airport,33.2,-96.59,587,McKinney,75069,US/Central,TX,Texas,US,United States of America,Collin
13722,KMKN,Comanche County-City Airport,31.9168,-98.6003,1388,Comanche,76442,US/Central,TX,Texas,US,United States of America,Comanche
